Ürün Görseli,Ürün Adı,Barkod
"https://cdn.getir.com/product/5f36a02ca55e7c6eb5a62eb4_tr_1637858091633.jpeg","La Lorraine Tam Buğday Unlu Ekmek (350 g)","4400154"
"https://cdn.getir.com/product/5f36a184806f3af06dc92da3_tr_1637858162775.jpeg","La Lorraine Çavdar Ekmeği (300 g)","4400155"
"https://cdn.getir.com/product/5f36a28b29d3b131b9d95548_tr_1637858193743.jpeg","La Lorraine Tombul Ekmek (320 g)","8681573030612"
"https://cdn.getir.com/product/5f36a342feba7929034a1562_tr_1610972748444.jpeg","La Lorraine Dondurulmuş Mini Rustik Baget (10'lu)","4400152"
"https://cdn.getir.com/product/5f36a3bfe734034466325225_tr_1610972810517.jpeg","La Lorraine Dondurulmuş Mini Ciabatta (10'lu)","4400147"
"https://cdn.getir.com/product/5f6308e3cab54927754ea3ae_tr_1610972854476.jpeg","La Lorraine Dondurulmuş Mini Sade Baget (10'lu)","8699975525353"
"https://cdn.getir.com/product/5f630d570a7f7f8226cd09e1_tr_1610972903942.jpeg","La Lorraine Dondurulmuş Mini Esmer Baget (10'lu)","8699975525391"
"https://cdn.getir.com/product/5f63101a9aa05474b76aa1f6_tr_1663856250168.jpeg","La Lorraine Sade Baget (255 g)","8681573030896"
"https://cdn.getir.com/misc/product_placeholder_getir_logo.jpeg","La Lorraine Ekmek Kraftı","10300008"
"https://cdn.getir.com/misc/product_placeholder_getir_logo.jpeg","La Lorraine Baget Kraftı","10300010"
"https://cdn-image.getir.com/market/product/88a66fbf-7b26-4a75-8fe4-22ae1aa98b8d.png","La Lorraine - Uğur/UDD 560 BK - Donuk Dolap (Sandık Tipi 150 cm)","108181500700900"
"https://cdn.getir.com/product/609242c9a76e6b5916abe5b7_tr_1620307855233.jpeg","La Lorraine Sokak Simiti (90 g)","8681573033125"
"https://cdn.getir.com/product/60acfe9b1eb103cbec519ec4_tr_1621951745568.jpeg","La Lorraine Sokak Simiti (2 x 90 g)","lalorreınesımıt2lı_g10"
"https://cdn.getir.com/product/612e0f398c9071404760f426_tr_1637858225157.jpeg","La Lorraine Peynirli Poğaça (73 g)","8681573033194"
"https://cdn.getir.com/misc/product_placeholder_getir_logo.jpeg","La Lorraine Çörek Kraftı","10300006"
"https://cdn.getir.com/product/615c0611653f36c74cea0a34_tr_1637858643935.jpeg","La Lorraine Peynirli Poğaça (2 x 75 g)","lalorraine2lipogaca_cmn"
"https://cdn.getir.com/product/6160388220feae696a682788_tr_1637858530534.jpeg","La Lorraine Patatesli Rulo Börek (85 g)","8681573031749"
"https://cdn.getir.com/product/616052c9d6439998da2cbfc1_tr_1637858477981.jpeg","La Lorraine Ispanaklı Börek (85 g)","8681573031756"
"https://cdn.getir.com/product/616058b39798956eb4c85472_tr_1637858433588.jpeg","La Lorraine Balkan Çöreği (85 g)","8681573031961"
"https://cdn.getir.com/product/61605c6e6b8455ddeb7dce74_tr_1637858373564.jpeg","La Lorraine Tereyağlı Kruvasan (55 g)","8681573031923"
"https://cdn.getir.com/product/616060d0ef547aa314db243e_tr_1637858318394.jpeg","La Lorraine Çikolata Kremalı Kruvasan (65 g)","8681573031954"
"https://cdn.getir.com/product/619d70f1688346254e871b0f_tr_1655911497902.jpeg","La Lorraine Tereyağlı Kruvasan İkilisi (2 x 55 g)","lalorrainekruvasan2li_cmn"
"https://cdn.getir.com/product/6220baae4bb7b497000eb833_tr_1653311375038.jpeg","La Lorraine Ispanaklı Börek İkilisi (2 x 95 g)","ıspanaklıbörekikilisi"
"https://cdn.getir.com/product/6290899851c6ae49ba8afd65_tr_1653661198634.jpeg","La Lorraine Taze Baget (110 g)","1234567891050"
"https://cdn.getir.com/product/62909e2bdcee1f469f9c0cb8_tr_1653660899122.jpeg","La Lorraine Peynirli Danish Çörek (65 g)","8681573032319"
"https://cdn-image.getir.com/market/product/818b0665-f906-4860-ac4a-157cf0cfcee1.jpg","La Lorraine Çilekli Danish Çörek (65 g)","8681573032258"
"https://cdn.getir.com/product/6290a665449ded5fc35b84b6_tr_1653663320066.jpeg","La Lorraine Kıymalı Patatesli Börek (80 g)","8681573031824"
"https://cdn.getir.com/product/62b315e840ebfd286af1dc2b_tr_1655909526023.jpeg","La Lorraine Ispanaklı Börek İkilisi (2 x 85 g)","lalorraineıspanaklıbörek2lig10"
"https://cdn.getir.com/product/62b335c2a2b31d45c73a77b0_tr_1655994492800.jpeg","La Lorraine Kıymalı Patatesli Börek (2 x 95 g)","lalorrainekıymalıpatateslibörek2li"
"https://cdn-image.getir.com/market/product/1ee49732-5fac-4e9e-b982-3a9ecdd27273.jpeg","La Lorraine Kruvasan Paketi (2 Ürün)","lalorrainekruvasan_pkt"
"https://cdn-image.getir.com/market/product/b4d4cffd-416a-4d16-bba1-7cbddef74c1b.jpeg","La Lorraine Börek Paketi (2 Ürün)","lalorraineborek_bundle"
"https://cdn.getir.com/product/62ea5c24048c639f845c6e7d_tr_1659942855529.png","La Lorraine Çilekli Danish Çörek (2 x 80 g)","çileklidanishg10"
"https://cdn.getir.com/product/63106adc577a601c05579c0e_tr_1663856666137.png","La Lorraine Rustik Esmer Baget Ekmek (95 g)","8681573030063"
"https://cdn.getir.com/product/631860f26bc62677977ba990_tr_1663856261687.jpeg","La Lorraine Zeytinli Kekikli Rustik Baget (110 g)","8681573033316"
"https://cdn-image.getir.com/market/product/aae2e032-9b72-417b-ac13-4fb0c869c4d8.jpg","La Lorraine Taze Ekmek Paketi (2 Ürün)","g10_lalrraine_tze_ekmk"
